Date,Item Name,Price,Auction ID,Reforge,Star Level,FPBs,Enchants,Recomb
2024-05-17,Goldor's Leggings,37777777,a7c8f9f9f60c4375be8d2a398fb863ab,giant,0,0,ultimate_last_stand 5|rejuvenate 5|mana_vampire 2|thorns 3|growth 5|protection 5|,true
2024-05-17,Necron's Leggings,16598969,59390d531382467c829b7d97aeb6a717,none,0,0,,false
2024-05-17,Necron's Leggings,22000000,500508c6d91546cd8700ed20065480b1,ancient,5,0,rejuvenate 5|thorns 3|protection 5|growth 5|,false
2024-05-17,Storm's Chestplate,19798000,e218176e6b5c46b2ad27704374b76d9b,none,0,0,,false
2024-05-17,Livid Dagger,8200000,28dc1c02ed174f34b61d9851a10e8cfa,withered,4,0,ender_slayer 6|lethality 6|syphon 4|thunderlord 6|smite 6|luck 5|critical 5|cleave 5|looting 3|scavenger 3|fire_aspect 2|giant_killer 5|first_strike 4|,false
2024-05-17,Goldor's Chestplate,63000000,d315ea7a698742d78e6e67b3205657b3,giant,6,5,growth 6|protection 6|ultimate_last_stand 5|mana_vampire 5|rejuvenate 5|thorns 3|,true
2024-05-17,Livid Dagger,9000000,e3852929224642328b8d7e760180c7b5,fabled,5,0,luck 5|critical 5|looting 3|scavenger 3|vampirism 5|life_steal 3|execute 5|giant_killer 5|first_strike 4|venomous 5|thunderlord 5|sharpness 5|lethality 5|,false
2024-05-17,Necron's Boots,33600000,d61f99c4a3e54b628a2af7d45d1f5ebb,ancient,5,5,sugar_rush 3|strong_mana 4|rejuvenate 5|feather_falling 10|depth_strider 3|thorns 3|growth 5|protection 5|,true
2024-05-17,Necron's Leggings,32500000,fbce9de1ebd9451f9f7296896301f43b,ancient,5,0,ultimate_last_stand 5|strong_mana 3|rejuvenate 5|thorns 3|protection 5|growth 5|,true
2024-05-17,Necron's Chestplate,36000000,62fa2325e53a4386b9e3abddd9dfb23f,ancient,5,0,rejuvenate 5|growth 5|protection 5|,true
2024-05-17,Storm's Boots,27000000,07ff127c58da47a88efac867975b3faf,none,5,0,ultimate_last_stand 5|rejuvenate 5|thorns 3|growth 5|protection 5|,true
2024-05-17,Livid Dagger,11500000,fc7c62fb028b421f9f5d5a48d7494be3,fabled,5,0,ender_slayer 6|life_steal 4|looting 4|critical 6|thunderlord 6|luck 6|impaling 3|scavenger 3|fire_aspect 2|vampirism 5|execute 5|giant_killer 5|first_strike 4|venomous 5|sharpness 5|cubism 5|lethality 5|,false
2024-05-17,Necron's Helmet,30000000,84ce26b1a1644876a70b0ddb32f4b852,ancient,5,0,rejuvenate 5|thorns 3|protection 5|growth 5|respiration 3|aqua_affinity 1|,true
2024-05-17,Goldor's Boots,7000000,853a36d07a90425d9a067c7b099fa3c8,none,0,0,growth 6|depth_strider 3|thorns 3|feather_falling 5|protection 5|,false
