Date,Item Name,Price,Auction ID,Reforge,Star Level,FPBs,Enchants,Recomb
2024-05-17,Livid Dagger,14000000,b5e25535dd5745419fa4573680821c0e,withered,0,0,ender_slayer 6|giant_killer 6|vampirism 6|lethality 6|syphon 4|ultimate_combo 5|looting 4|critical 6|scavenger 4|thunderlord 6|luck 6|impaling 3|cleave 5|telekinesis 1|fire_aspect 2|execute 5|venomous 5|first_strike 4|sharpness 5|cubism 5|,true
2024-05-17,Necron's Chestplate,25000000,9d895c6b44aa475ab97b5bffe08614e9,ancient,2,0,thorns 3|protection 5|growth 5|,false
2024-05-17,Maxor's Boots,22080000,b1dcab6cf59f428ab2081cd0fb897580,necrotic,5,0,ultimate_legion 3|sugar_rush 3|mana_vampire 3|rejuvenate 5|depth_strider 3|protection 5|growth 5|,true
2024-05-17,Livid Dagger,7000000,4239c0e7bfb04473b0b6dd61e48f4844,spicy,5,0,luck 5|critical 5|first_strike 4|cleave 5|looting 3|sharpness 5|scavenger 3|ender_slayer 5|fire_aspect 2|life_steal 3|,false
2024-05-17,Maxor's Boots,11500000,7b562f2faf3a407db133e5ff5805a027,necrotic,5,0,rejuvenate 5|feather_falling 10|depth_strider 3|growth 5|protection 5|,false
2024-05-17,Necron's Leggings,23500000,d58b11323e8d47128ad384415dca4b45,ancient,5,0,growth 5|protection 5|,false
2024-05-17,Necron's Leggings,40590000,531c56be34a74b789bfc202e2afef4dc,ancient,0,0,ultimate_wisdom 5|rejuvenate 5|protection 5|growth 5|,true
2024-05-17,Livid Dagger,20000000,8e00d9d0aa1846cfa2b5c12084a9c183,fabled,0,5,champion 10|ultimate_soul_eater 3|sharpness 6|ender_slayer 6|giant_killer 6|vampirism 6|lethality 6|syphon 4|looting 4|critical 6|scavenger 4|thunderlord 6|luck 6|impaling 3|cleave 5|telekinesis 1|fire_aspect 2|execute 5|venomous 5|triple_strike 4|cubism 5|,true
2024-05-17,Maxor's Boots,16100000,829dbd71155742d38036c65af1c68506,ancient,5,0,ultimate_last_stand 5|thorns 3|growth 5|protection 5|,true
2024-05-17,Spirit Sceptre,18000000,84c0a192a0314686823455ed2b245e83,heroic,3,0,ultimate_wise 3|,false
2024-05-17,Maxor's Boots,11500000,964987439ee1400cb32caebbe8f04030,ancient,5,0,rejuvenate 5|protection 5|growth 5|,false
